t-SNE1,t-SNE2,Image,ecco_id,estc_id,total_price
-0.5569663,-0.28848737,171230130100970,1712301301,T77908,90.0
-0.5569663,-0.28848737,171230130100970,1712301301,T77908,90.0
0.34527963,0.2081741,086730020000840,867300200,T66029,54.0
-0.18253835,1.4153575,133230130000010,1332301300,N36448,36.0
1.8277947,-0.8786317,036220180002220,362201800,T133351,18.0
-1.4372663,-0.7954813,171230130101030,1712301301,T77908,90.0
-1.4372663,-0.7954813,171230130101030,1712301301,T77908,90.0
-0.28341755,1.4697434,157060010201410,1570600102,T59882,600.0
-0.9568919,-1.2465693,126280120000040,1262801200,N3839,60.0
0.89333165,-1.4494951,123130120000370,1231301200,N9842,12.0
0.89333165,-1.4494951,123130120000370,1231301200,N9842,12.0
0.89333165,-1.4494951,123130120000370,1231301200,N9842,12.0
0.89333165,-1.4494951,123130120000370,1231301200,N9842,12.0
-0.19273126,-0.8826409,126280120000100,1262801200,N3839,60.0
-1.0282874,-0.9060719,171230130100610,1712301301,T77908,90.0
-1.0282874,-0.9060719,171230130100610,1712301301,T77908,90.0
-0.5710679,0.7184488,133230130001190,1332301300,N36448,36.0
0.097808264,1.6494472,126280120000570,1262801200,N3839,60.0
-0.0792436,1.4174428,093790030000360,937900300,T134584,12.0
-0.22574641,1.1239505,133230130002250,1332301300,N36448,36.0
1.4169871,-0.6127706,036220180000170,362201800,T133351,18.0
0.5225494,0.1744128,086730020001140,867300200,T66029,54.0
-0.9895981,-0.38987324,171230130100520,1712301301,T77908,90.0
-0.9895981,-0.38987324,171230130100520,1712301301,T77908,90.0
-1.1894579,-0.60645956,171230130101240,1712301301,T77908,90.0
-1.1894579,-0.60645956,171230130101240,1712301301,T77908,90.0
0.3060621,0.17163596,086730020000790,867300200,T66029,54.0
1.4033084,-0.886755,036220180000690,362201800,T133351,18.0
0.2468003,1.8975171,155720010401430,1557200104,T192639,756.0
-1.2588778,-0.95129645,171230130100220,1712301301,T77908,90.0
-1.2588778,-0.95129645,171230130100220,1712301301,T77908,90.0
0.7612317,0.055081207,085750090002920,857500900,T210906,30.0
-1.201338,-1.2944857,171230130100600,1712301301,T77908,90.0
-1.201338,-1.2944857,171230130100600,1712301301,T77908,90.0
1.4517446,-0.46745947,036220180000450,362201800,T133351,18.0
1.6783254,-0.8151391,036220180001770,362201800,T133351,18.0
