ecco_id,image_count
0006901300,11
0006901400,9
0007000100,5
0007000500,1
0007000600,63
0007001000,2
0007001300,133
0007001400,1
0007001600,1
0007100101,20
0007100102,18
0007100301,9
0007100302,2
0007100800,2
0007100900,1
0007200101,4
0007200102,1
0007300201,12
0007300202,6
0007400104,6
0007400105,1
0007400106,4
0007400107,12
0007400108,5
0007500102,13
0007500103,7
0007500104,10
0007500200,35
0007500300,2
0007500400,1
0007500900,2
0007501000,7
0007600100,4
0007600300,1
0007600400,1
0007600700,4
0007600800,1
0007600900,2
0007700101,1
0007700102,1
0007700104,1
0007800200,3
0007800301,53
0007800400,1
0007900700,2
0007900900,1
0007901000,5
0007901300,2
0007901400,3
0008000101,1
0008000102,1
0008000103,2
0008000104,2
0008100106,1
0008100107,1
0008200101,4
0008200102,1
0008200105,1
0008300106,1
0008300108,1
0008300109,1
0008400100,2
0008400201,14
0008400202,6
0008400300,47
0008500100,1
0008500200,3
0008500401,14
0008500402,11
0008500500,19
0008500701,1
0008500702,1
0008500800,20
0008501001,5
0008501002,3
0008501100,4
0008600100,1
0008600201,33
0008600202,24
0008600301,9
0008600302,4
0008600303,2
0008600304,3
0008700100,5
0008700300,18
0008700500,9
0008700601,7
0008700602,3
0008700603,7
0008700604,5
0008700700,93
0008800101,6
0008800102,2
0008800103,4
0008800104,4
0008800105,8
0008800201,1
0008800202,2
0008800300,5
0008800400,13
0008800500,1
0008800600,4
0008900201,35
0008900202,12
0008900300,24
0008900400,1
0008900500,1
0008900600,8
0008900701,1
0008900702,1
0008900801,2
0008900802,2
0008900900,5
0008901000,8
0009000101,1
0009000102,1
0009000103,1
0009000104,1
0009000201,5
0009000202,4
0009000301,7
0009000302,9
0009000400,2
0009000501,1
0009000502,1
0009000503,2
0009000600,4
0009100100,3
0009100301,16
0009100302,20
0009100402,1
0009100501,1
0009200101,43
0009200102,51
0009200200,2
0009200300,21
0009200400,1
0009200500,4
0009200901,22
0009200902,20
0009300100,10
0009300300,12
0009300601,1
0009300602,2
0009300801,1
0009300802,1
0009300900,14
0009301000,8
0009301100,2
0009400101,10
0009400102,6
0009400201,15
0009400202,11
0009400301,47
0009400302,23
0009400400,3
0009400500,4
0009400801,1
0009500101,1
0009500102,1
0009500104,1
0009500400,12
0009500501,1
0009500502,1
0009500503,1
0009500504,1
0009600100,7
0009600200,18
0009600300,2
0009600402,1
0009600500,5
0009600701,8
0009600702,14
0009700101,5
0009700102,2
0009700103,3
0009700104,4
0009700105,2
0009700106,3
0009700107,3
0009700108,2
0009700109,3
0009700110,5
0009700111,4
0009700112,3
0009700209,3
0009700210,5
0009700301,6
0009700302,1
0009700303,4
0009700304,3
0009800100,100
0009800200,5
0009800302,1
0009800303,12
0009800600,22
0009800700,2
0009900100,1
0009900400,15
0009900500,5
0009900600,1
0009900700,3
0009900800,1
0009900900,1
0009901300,5
0009901400,9
0009901500,4
0009901800,1
0009901900,3
0009902000,2
0010000100,128
0010000200,1
0010000300,3
0010000400,2
0010000600,4
0010001300,1
0010001600,2
0010001700,2
0010100100,2
0010100300,4
0010100500,28
0010100600,3
0010100900,1
0010101000,8
0010200100,2
0010200500,23
0010200700,2
0010200900,1
0010201000,26
0010201100,4
0010201200,3
0010201300,1
0010201400,1
0010201800,6
0010300200,1
0010300600,12
0010300700,7
0010300800,1
0010301000,8
0010301301,12
0010301302,53
0010301600,6
0010301700,2
0010400400,5
0010400600,1
0010400800,3
0010401300,2
0010401500,4
0010401800,1
0010402100,14
0010402200,2
0010402400,1
0010402500,2
0010402600,13
0010402700,1
0010500100,11
0010500400,1
0010501800,1
0010502000,10
0010502400,1
0010502600,2
0010502700,2
0010502900,2
0010503100,5
0010503300,3
0010600101,19
0010600102,28
0010600200,52
0010600300,20
0010700100,11
0010700200,74
0010700300,1
0010800101,6
0010800102,8
0010800103,7
0010800104,13
0010800300,2
0010900101,67
0010900102,27
0011000103,25
0011000400,6
0011100100,42
0011100200,2
0011100300,3
0011100401,5
0011100402,2
0011100403,2
0011100404,2
0011100405,1
0011100406,2
0011200108,3
0011200109,2
0011200110,1
0011200400,19
0011300101,1
0011300102,1
0011300103,1
0011300104,1
0011300105,1
0011300106,1
0011300107,1
0011300108,1
0011400100,1
0011400200,2
0011400300,4
0011400400,4
0011400800,3
0011401000,1
0011401100,4
0011401300,2
0011401400,9
0011401500,11
0011500101,1
0011500102,6
0011500200,28
0011500300,3
0011500600,2
0011600101,12
0011600102,8
0011600103,5
0011600104,6
0011600105,5
0011700106,6
0011700107,5
0011700108,7
0011700109,6
0011700110,11
0011700200,13
0011700300,3
0011800101,58
0011800102,23
0011800200,3
0011800300,41
0011800400,88
0011800500,10
0011900101,2
0011900102,4
0011900103,1
0011900104,1
0011900105,1
0012000100,1
0012000200,1
0012000300,1
0012000400,2
0012000500,5
0012000800,4
0012100100,1
0012100200,3
0012100600,4
0012100701,4
0012100702,2
0012100703,2
0012100704,2
0012200100,1
0012200300,6
0012200400,3
0012200500,3
0012200600,1
0012200700,1
0012200800,82
0012201100,1
0012201200,2
0012300100,6
0012300402,4
0012300600,3
0012300700,5
0012300800,1
0012301000,6
0012400401,2
0012400402,3
0012400500,1
0012400800,16
0012500401,5
0012500402,9
0012500403,9
0012500501,37
0012500502,40
0012600101,4
0012600102,3
0012600200,33
0012600401,3
0012600402,2
0012600500,2
0012600600,1
0012600800,2
0012700101,26
0012700102,20
0012700201,13
0012700202,16
0012700300,4
0012700402,1
0012700600,18
0012800201,3
0012800202,1
0012800203,3
0012800205,1
0012800206,9
0012800300,3
0012800601,2
0012800602,1
0012800701,9
0012800702,2
0012800800,4
0012800900,26
0012900100,5
0012900200,4
0012900400,34
0012900600,5
0013000101,1
0013000201,20
0013000202,18
0013000203,17
0013100101,3
0013100102,3
0013200101,1
0013200102,1
0013200501,1
0013200502,1
0013300300,4
0013300700,2
0013400101,1
0013400102,1
0013400103,2
0013400201,23
0013400202,28
0013400300,18
0013400401,43
0013400402,21
0013400403,45
0013400404,42
0013500100,3
0013500201,2
0013500202,2
0013500203,2
0013500204,2
0013600101,44
0013600102,45
0013600401,37
0013600402,34
0013600500,19
0013600600,5
0013700101,2
0013700102,3
0013700206,1
0013700207,1
0013700209,1
0013700400,1
0013700500,4
0013700900,6
0013800200,10
0013800300,13
0013800601,1
0013800602,1
0013900100,6
0013900200,5
0013900300,2
0013900400,1
0013900500,1
0013900700,2
0013900800,3
0013900900,5
0013901000,7
0013901100,3
0013901200,4
0013901400,1
0013901600,2
0013901700,2
0013901800,2
0013901900,1
0013902000,2
0013902100,2
0013902200,1
0013902300,1
0013902400,2
0013902500,2
0013902600,2
0013902900,1
0013903000,1
0013903200,1
0013903400,2
0013903500,2
0013903600,1
0013904000,1
0013904100,1
0013904300,58
0013904400,2
0013904600,3
0013904700,4
0013904800,1
0013904900,3
0013905000,1
0013905100,1
0013905200,95
0013905300,65
0013905400,5
0014000100,51
0014000300,1
0014001000,1
0014001100,1
0014001200,1
0014002100,1
0014002200,15
0014002500,81
0014002600,48
0014100500,2
0014100602,2
0014200101,18
0014200102,15
0014200201,2
0014200204,3
0014300101,20
